Country,Market_scope,Source_name,Operator,Official_domain,Source_family,Officialness_tier,Primary_evidence_yes_no,M&A,ECM,DCM,Relevant_event_types,Index_page,Detail_page_pattern,Access_format,Languages,Stable_event_id,Stable_issuer_id,Publication_timestamp,Event_date,Pagination,Archive_depth,Authentication,Robots_status,Terms_status,Reuse_risk,Technical_noise_risk,False_positive_risk,Expected_90d_volume,Observed_relevant_90d_samples,Parser_complexity,Maintenance_burden,Canonical_source_role,Approval_eligibility,Recommended_status,Reason
"Moldova","core_cis","Central Securities Depository reference information","Single Central Securities Depository","dcu.md","Central securities depository","Tier 1","yes","low","low","medium","ISIN; settlement; corporate action","https://dcu.md/","unverified","HTML; files","ro; en limited","unverified","ISIN","unverified","sometimes","unverified","unverified","mixed","not independently retrieved","terms unresolved","medium","high","low","unknown","0","high","medium","identifier corroboration","conditional","P2_RESEARCH_MORE","No public deal-event index was verified."
"Moldova","core_cis","Competition Council decisions","Competition Council","competition.md","Competition authority","Tier 2","yes","high","none","none","merger authorization; concentration decision","https://competition.md/","decision path varies","HTML; PDF","ro","decision number","no","yes","decision date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","0-3","not scored for P0/P1","medium","medium","M&A regulatory corroboration","conditional","P2_RESEARCH_MORE","Decision taxonomy and party extraction need live sample validation."
"Moldova","core_cis","Public Property Agency privatization","Public Property Agency","app.gov.md","Privatization / state asset authority","Tier 2","yes","high","low","none","privatization; auction; state share sale","https://app.gov.md/","article/auction path varies","HTML; PDF","ro","sometimes","lot/asset id","yes","auction/result date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","high","1-5","not scored for P0/P1","medium","medium","privatization discovery and result corroboration","conditional","P2_RESEARCH_MORE","Completed transaction result consistency was not verified."
"Tajikistan","core_cis","CASE market and issuer information","Central Asian Stock Exchange","case.com.tj","Stock exchange","Tier 1","yes","low","medium","medium","listing; issuer report; securities market bulletin","https://www.case.com.tj/","document/news path varies","HTML; PDF","tg; ru; en limited","unverified","security registration id","sometimes","yes","limited","multi-year PDFs","no","not independently retrieved","terms not located","medium","high","medium","0-3","0","high","high","discovery and link only pending endpoint proof","conditional","P2_RESEARCH_MORE","Official site is live but no stable recent deal-event index or three samples were verified."
"Tajikistan","core_cis","Central Depository information","Central Depository at CASE","case.com.tj","Central securities depository","Tier 1","yes","low","low","medium","security custody/reference","https://www.case.com.tj/","unverified","HTML; PDF","tg; ru","unverified","security id","unverified","sometimes","unverified","unverified","no","not independently retrieved","terms unresolved","medium","high","low","unknown","0","high","high","identifier corroboration only","conditional","BLOCKED","No separate stable public event/index surface was verified."
"Tajikistan","core_cis","National Bank publications","National Bank of Tajikistan","nbt.tj","Central bank","Tier 1","yes","low","low","medium","central-bank securities; bank decisions","https://nbt.tj/en/news/","article/file path varies","HTML; PDF","tg; ru; en","sometimes","security/auction number","yes","yes","yes","multi-year","no","not independently retrieved","government terms not located","low","very high","low","1-5","0","medium","medium","sovereign/financial context only","no for corporate deal without corroboration","DISCOVERY_ONLY","Observed 2026 issuance plans concern NBT securities, not corporate deal flow."
"Tajikistan","core_cis","Ministry of Finance securities publications","Ministry of Finance of Tajikistan","moliya.tj","Securities regulator / sovereign issuer","Tier 1","yes","low","low","medium","government securities; securities policy","https://moliya.tj/","unverified","HTML; PDF","tg; ru","unverified","issue number sometimes","sometimes","yes","unverified","unverified","no","not independently retrieved","government terms not located","low","very high","low","unknown","0","high","medium","context only","conditional","P2_RESEARCH_MORE","No corporate issuance or prospectus database was verified."
"Tajikistan","core_cis","Antimonopoly Service decisions","Antimonopoly Service","ams.tj","Competition authority","Tier 2","yes","high","none","none","economic concentration; acquisition decision","https://ams.tj/","unverified","HTML; PDF","tg; ru","unverified","no","unverified","decision date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","medium","unknown","0","high","high","M&A discovery only","conditional","P2_RESEARCH_MORE","No public deal-level decision archive was verified."
"Tajikistan","core_cis","State investment and property disclosures","State Committee on Investment and State Property Management","investcom.tj","Privatization / state asset authority","Tier 2","yes","high","low","none","privatization; state asset sale; investment agreement","https://investcom.tj/","unverified","HTML; PDF","tg; ru; en limited","unverified","project/asset id varies","sometimes","yes","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","high","unknown","0","high","high","privatization discovery","conditional","P2_RESEARCH_MORE","Stable auction/result archive was not verified."
"Turkmenistan","availability_only","State Commodity and Raw Materials Exchange","State Commodity and Raw Materials Exchange of Turkmenistan","exchange.gov.tm","Commodity exchange","Tier 2","yes","none","none","none","commodity export/import trades; not securities deals","https://www.exchange.gov.tm/quotations","quotation/date table","HTML; XLSX; RSS","tk; ru; en","application/lot number","state company name only","yes","trade date","date filter","recent quotations observed","no","not independently retrieved","copyright notice; securities reuse irrelevant","medium","very high","very high","many commodity trades","0","low","low","not a deal-intelligence canonical source","no","REJECT","Live official infrastructure exists but events are commodity sales, not M&A/ECM/DCM."
"Turkmenistan","availability_only","Central Bank publications","Central Bank of Turkmenistan","cbt.tm","Central bank","Tier 1","yes","low","low","low","banking regulation; monetary publications","https://www.cbt.tm/","unverified","HTML; PDF","tk; ru; en limited","unverified","no","unverified","unverified","unverified","unverified","no","not independently retrieved","terms unresolved","high","high","high","unknown","0","high","high","availability research only","no","BLOCKED","No stable public corporate securities or deal-level evidence was verified."
"Turkmenistan","availability_only","Ashgabat Stock Exchange lead","Ashgabat Stock Exchange","agb.com.tm","Stock exchange","Tier 1","unverified","unknown","unknown","unknown","unverified","https://agb.com.tm/","unverified","unverified","tk; ru","unverified","unverified","unverified","unverified","unverified","unverified","unverified","not independently retrieved","terms unresolved","very high","unknown","high","unknown","0","very high","very high","none until verified","no","BLOCKED","A stable accessible official deal-level index, archive and sample event could not be verified."
"Georgia","regional_adjacent","NBG public companies and public securities","National Bank of Georgia","nbg.gov.ge","Securities regulator / prospectus database","Tier 1","yes","low","high","high","approved public security; bond issue; issuer documents","https://nbg.gov.ge/en/supervision/public-companies","issuer webpage/document link from table","HTML; linked issuer documents","ka; en","ISIN plus approval date","company ID","approval date","sometimes","single long table","deep; legacy issuers to 2000","no","robots file not independently retrievable","government/public terms not located","low","medium","low","5-12","3","medium","low","canonical registration and approved-document source","yes for registered/announced stage","P2_RESEARCH_MORE","Strong adjacent-market candidate, but Georgia must remain separately labelled and is not Wave 1 core CIS."
"Georgia","regional_adjacent","Georgian Stock Exchange news and securities","Georgian Stock Exchange","gse.ge","Stock exchange","Tier 1","yes","medium","medium","high","listing; delisting; mandatory redemption; security reference","https://gse.ge/en/news","news detail path varies","HTML; PDF","ka; en","unverified","ISIN; ticker","yes","event date","yes","multi-year","no","robots file not independently retrievable","terms not located","medium","high","medium","2-8","1","medium","medium","exchange corroboration","conditional","P2_RESEARCH_MORE","Current news is dominated by delistings; use NBG approved securities for cleaner issuance discovery."
"Georgia","regional_adjacent","Georgian Central Securities Depository","Georgian Central Securities Depository","gcsd.ge","Central securities depository","Tier 1","yes","low","low","medium","ISIN; settlement; corporate actions","https://gcsd.ge/","unverified","HTML; files","ka; en","unverified","ISIN","unverified","sometimes","unverified","unverified","mixed","not independently retrieved","terms unresolved","medium","high","low","unknown","0","high","medium","identifier corroboration","conditional","P2_RESEARCH_MORE","No stable public event feed was verified."
"Georgia","regional_adjacent","Competition Agency decisions","Georgian Competition and Consumer Agency","gcca.gov.ge","Competition authority","Tier 2","yes","high","none","none","merger clearance; concentration decision","https://gcca.gov.ge/index.php?lang_id=ENG","decision path varies","HTML; PDF","ka; en","decision number","no","yes","decision date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","0-4","not scored for P0/P1","medium","medium","M&A regulatory corroboration","conditional","P2_RESEARCH_MORE","Useful adjacent-market M&A source but decision taxonomy needs sampling."
"Georgia","regional_adjacent","National Agency of State Property auctions","National Agency of State Property","nasp.gov.ge","Privatization / state asset authority","Tier 2","yes","high","low","none","privatization; state asset auction; sale result","https://nasp.gov.ge/","auction/article path varies","HTML; PDF","ka; en limited","lot id sometimes","asset id","yes","auction/result date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","high","1-6","not scored for P0/P1","medium","medium","privatization discovery","conditional","P2_RESEARCH_MORE","Corporate-stake filtering and completed-sale result consistency need verification."
"Georgia","regional_adjacent","Bank of Georgia Group investor relations","Bank of Georgia Group PLC","bankofgeorgiagroup.com","Official issuer disclosure","Tier 1","yes","high","high","high","bond placement; M&A announcement; offer document","https://bankofgeorgiagroup.com/investors/","issuer article/document pattern varies","HTML; PDF","en","varies","issuer-specific; ISIN","yes","yes","varies","multi-year","no","not independently retrieved","issuer terms not located","medium","low","medium","0-3","not scored for P0/P1","medium","medium","primary corroboration only","yes","DISCOVERY_ONLY","Useful adjacent-market corroboration but no unified market-wide index."
